id,building,area,aisle,bay,shelf,position,type,split_request,disabled,exclude_allocations
"Honda Trans Mount",2,"Honda Trans Mount",0,0,0,0,20,0,0,0
8660549aff4e187965239906b194a7316a20b2e6,2,"Line 12 ",0,0,0,0,20,0,0,0
5b2fab2da45c6cf686fac64790eb202a32ad0c17,2,"Line 13 ",0,0,0,0,20,0,0,0
47cd30dbeed0b9eb4e17b9fe941d57de4092649f,2,"Line 14 ",0,0,0,0,20,0,0,0
"Line 14 Bump Stop",2,"Line 14 Bump Stop",0,0,0,0,20,0,0,0
MDX,2,MDX,0,0,0,0,20,0,0,0
"New Front",2,"New Front",0,0,0,0,20,0,0,0
"NEW Front Assembly",2,"NEW Front Assembly",0,0,0,0,20,0,0,0
"NEW LEXUS",2,"NEW LEXUS",0,0,0,0,20,0,0,0
d44033ba1b000d9b62df4448b3f5afee58253e0f,2,"Nissan 2",0,0,0,0,20,0,0,0
"Nissan Strut Mount",2,"Nissan Strut Mount",0,0,0,0,20,0,0,0
Nissan1,2,Nissan1,0,0,0,0,20,0,0,0
"OLD LEXUS",2,"OLD LEXUS",0,0,0,0,20,0,0,0
"Old Rear Assembly",2,"Old Rear Assembly",0,0,0,0,20,0,0,0
OldRearAssembly,2,OldRearAssembly,0,0,0,0,20,0,0,0
"Omega 0807",2,"Omega 0807",0,0,0,0,20,0,0,0
"Paintline 7",2,"Paintline 7",0,0,0,0,20,0,0,0
"Projection Welder",2,"Projection Welder",0,0,0,0,20,0,0,0
RAV4,2,RAV4,0,0,0,0,20,0,0,0
RAV_4_Glue,2,RAV_4_Glue,0,0,0,0,20,0,0,0
"Rear Assembly 30Ton",2,"Rear Assembly 30Ton",0,0,0,0,20,0,0,0
SERVICE,2,"Service Cell",0,0,0,0,20,0,0,0
"Showa Strut Mount",2,"Showa Strut Mount",0,0,0,0,20,0,0,0
"Sub Dry Fill #4",2,"Sub Dry Fill #4",0,0,0,0,20,0,0,0
"Sub Dryfill #2",2,"Sub Dryfill #2",0,0,0,0,20,0,0,0
"Sub Dryfill #3",2,"Sub Dryfill #3",0,0,0,0,20,0,0,0
"Sub Final #2",2,"Sub Final #2",0,0,0,0,20,0,0,0
"Sub Final #3",2,"Sub Final #3",0,0,0,0,20,0,0,0
"Sub Final #4",2,"Sub Final #4",0,0,0,0,20,0,0,0
"Subaru 0809 Push In",2,"Subaru 0809 Push In",0,0,0,0,20,0,0,0
"Subaru Paintline",2,"Subaru Paintline",0,0,0,0,20,0,0,0
"Torque Machine",2,"Torque Machine",0,0,0,0,20,0,0,0
"Toyota 1",2,"Toyota 1",0,0,0,0,20,0,0,0
"Toyota Dryfill",2,"Toyota Dryfill",0,0,0,0,20,0,0,0
"Toyota Final Bracket",2,"Toyota Final Bracket",0,0,0,0,20,0,0,0
"Toyota Torque",2,"Toyota Torque",0,0,0,0,20,0,0,0
"Toyota Underwater",2,"Toyota Underwater",0,0,0,0,20,0,0,0
"Ultrasonic Welder",2,"Ultrasonic Welder",0,0,0,0,20,0,0,0
"Underwater 4",2,"Underwater 4",0,0,0,0,20,0,0,0
"Underwater 6",2,"Underwater 6",0,0,0,0,20,0,0,0
"UW2 0520",2,"UW2 0520",0,0,0,0,20,0,0,0
"UW5 0138",2,"UW5 0138",0,0,0,0,20,0,0,0
UW6,2,UW6,0,0,0,0,20,0,0,0
YAT,2,YAT,0,0,0,0,20,0,0,0
"YMEX 30 Ton",2,"YMEX 30 Ton",0,0,0,0,20,0,0,0
