building,id,area,disabled,machine_type
2,"Ultrasonic Welder","Ultrasonic Welder",0,press
1,"Underwater 1","Underwater 1",0,press
1,"Underwater 3","Underwater 3",0,press
2,"Underwater 4","Underwater 4",0,press
2,"Underwater 6","Underwater 6",0,press
2,"UW2 0520","UW2 0520",0,press
2,"UW5 0138","UW5 0138",0,press
2,UW6,UW6,0,press
2,YAT,YAT,0,press
1,YMEX,YMEX,0,press
2,"YMEX 30 Ton","YMEX 30 Ton",0,press
