part_number,container_description
BM111,barrel
BM112,bag
BM113,bag
BM114,bag
BM115,bag
EB014,bin
EB026,bin
EC071,bin
EC140,bin
EDO31,bag
PM116,bin
RF087,bag
RH012,bag
RH026,bag
RH090,bag
RH351,bag
RM017,bag
RN317,bag
RP078,bag
RS300,barrel
TA091,bin
TB046,bin
TE015,bin
TS027,bin
WE015,skid
WE028,bag
WF012,bag
WF025,bag
WF038,bag
WF057,bag
WF213,bag
WF239,bag
WH011,bag
WH053,bag
WK023,bag
WL013,bag
WL022,skid
WM026,bag
WM422,bag
WN031,barrel
WN043,bag
WN375,box
WS019,tote
