id,item,building_one_area,building_two_area,building_three_area
3059,806795,SORT,TOY,NULL
1107,806810,SWAGE,NULL,NULL
1046,806815,SORT,FG,NULL
3925,806820,SWAGE,NULL,NULL
1101,806820,SFLOW-9,NULL,NULL
1047,806825,SORT,FG,NULL
3933,806830,SWAGE,NULL,NULL
1014,806830,SFLOW-3,NULL,NULL
1048,806835,SORT,FG,NULL
3138,806840,PWIP,NULL,NULL
3054,806845,SORT,TOY,NULL
3084,806850,PWIP,NULL,NULL
3470,806855,JRNL,NULL,NULL
3098,806855,WIP,NULL,NULL
3930,806870,SWAGE,NULL,NULL
1094,806870,SFLOW-22,NULL,NULL
1146,806873,PWIP,NULL,NULL
4021,806873,WIP,NULL,NULL
1049,806875,SORT,TOY,NULL
3866,806880,SWAGE,NULL,NULL
1109,806880,SFLOW-11,NULL,NULL
1155,806883,WIP,NULL,NULL
1128,806883,PWIP,NULL,NULL
1050,806885,SORT,TOY,NULL
3088,806910,PWIP,NULL,NULL
3099,806915,JRNL,NULL,NULL
3919,806960,SLIT,NULL,NULL
3920,806964,COMPLETION,NULL,NULL
4001,806980,SFLOW-2,NULL,NULL
4090,806980,SFLOW-18,NULL,NULL
3997,806985,SORT,TOY,NULL
3070,807010,PWIP,NULL,NULL
3060,807015,SORT,TOY,NULL
3050,807020,SORT,NULL,NULL
4004,807020,DGS,NULL,NULL
3051,807030,DGS,NULL,NULL
3052,807040,DGS,NULL,NULL
3899,807060,SLIT,NULL,NULL
3900,807064,COMPLETION,WIP,NULL
3898,807066,COMPLETION,SORT,NULL
3990,807210,DGS,NULL,NULL
3991,807210,SWAGE,NULL,NULL
3993,807220,DGS,NULL,NULL
4024,807220,SWAGE,NULL,NULL
3994,807230,"HOT ROOM",NULL,NULL
3995,807230,SWAGE,NULL,NULL
1258,807390,SWAGE,NULL,NULL
1419,807490,JRNL,NULL,NULL
1420,807500,EXPANSION,NULL,NULL
1516,807540,PWIP,NULL,NULL
1119,807545,COMPLETION,WIP,NULL
1421,807580,COMPLETION,FG,NULL
1122,807670,PWIP,NULL,NULL
1140,807675,FELT,NULL,NULL
1171,807675,WIP,NULL,NULL
1518,807680,PWIP,NULL,NULL
1172,807685,WIP,NULL,NULL
1141,807685,FELT,NULL,NULL
1519,807690,PWIP,NULL,NULL
1170,807695,WIP,NULL,NULL
1139,807695,FELT,NULL,NULL
1520,807700,PWIP,NULL,NULL
1126,807705,FELT,NULL,NULL
1165,807705,WIP,NULL,NULL
728,807710,PLAS,NULL,NULL
1392,807710,JRNL,NULL,NULL
1393,807720,PLAS,NULL,NULL
1394,807760,LN11,NULL,NULL
713,807770,LN11,NULL,NULL
4003,807866,JRNL,NULL,NULL
2448,807870,EXPANSION,ASSY,NULL
1017,807890,SFLOW-19,NULL,NULL
2575,807890,SWAGE,NULL,NULL
1051,807895,"RECEIVING DOCK",SORT,NULL
3928,808360,SFLOW-20,NULL,NULL
4022,808360,SWAGE,NULL,NULL
3843,808360,SFLOW-16,NULL,NULL
3987,808440,SWAGE,NULL,NULL
3988,808450,SWAGE,NULL,NULL
1186,808760,JRNL,NULL,NULL
3931,808770,SWAGE,NULL,NULL
3863,808770,SFLOW-24,NULL,NULL
837,814840,EXPANSION,ASSY,NULL
485,814842,PHOSPHATE,NULL,NULL
1259,815390,SWAGE,NULL,NULL
1397,819500,JRNL,WHSE,NULL
1398,819520,COMPLETION,ASSY,NULL
1399,819530,JRNL,NULL,NULL
1400,819700,JRNL,NULL,NULL
1401,819710,JRNL,WHSE,NULL
1402,819720,JRNL,WHSE,NULL
1403,819730,JRNL,WHSE,NULL
1175,819800,JRNL,NULL,NULL
3627,819860,JRNL,WHSE,NULL
1405,819870,JRNL,WHSE,NULL
1406,819880,JRNL,WHSE,NULL
1407,819900,JRNL,WHSE,NULL
1408,819930,JRNL,WHSE,NULL
1409,819960,JRNL,NULL,NULL
1181,819970,JRNL,WHSE,NULL
1422,819990,JRNL,NULL,NULL
1052,820010,COMPLETION,FG,NULL
1521,820020,PWIP,"EXPANSION OUT",NULL
1111,820025,WIP,ASSY,NULL
2491,820025,JRNL,NULL,NULL
2597,820030,EXPANSION,ASSY,NULL
1053,820033,COLD,NULL,NULL
2842,820036,COMPLETION,FG,NULL
1553,820120,SORT,FG,NULL
1184,820880,JRNL,WHSE,NULL
1260,850650,SWAGE,WHSE,NULL
1711,850653,COMPLETION,FG,NULL
3233,854293,COMPLETION,FG,NULL
1261,854500,SWAGE,NULL,NULL
1713,854503,COMPLETION,FG,NULL
1425,855640,JRNL,WHSE,NULL
1555,855820,JRNL,WHSE,NULL
1426,856270,JRNL,WHSE,NULL
1427,857400,JRNL,WHSE,NULL
1428,857570,JRNL,WHSE,NULL
1412,858640,JRNL,NULL,NULL
1110,858640,SWAGE,NULL,NULL
1413,858670,PLAS,NULL,NULL
3459,858671,PLAS,NULL,NULL
1414,858700,JRNL,WHSE,NULL
1715,900010,COMPLETION,SVC,NULL
1717,900060,COMPLETION,FG,NULL
1719,900230,COMPLETION,FG,NULL
1093,900770,SORT,TOY,NULL
1624,900835,COMPLETION,FG,NULL
1691,900870,COMPLETION,FG,NULL
3389,900880,COMPLETION,FG,NULL
1698,901030,COMPLETION,FG,NULL
1699,901080,COMPLETION,FG,NULL
4044,901530,SORT,NULL,NULL
4045,901530,COMPLETION,FG,NULL
2293,901540,SORT,NULL,NULL
3542,901540,COMPLETION,NULL,NULL
4071,901800,COMPLETION,NULL,NULL
4070,901800,SORT,NULL,NULL
1854,901840,COMPLETION,SVC,NULL
