location,description,storage_location_group
Defiance,Defiance,1002
FLOOR,FLOOR,1002
DEF,DEF,1002
Defiance,Defiance,1002
"DEFIANCE IN","DEFIANCE IN",1002
"DEFIANCE OUT","DEFIANCE OUT",1002
"MBDS OUT","MBDS OUT",1002
COATERS,COATERS,1002
MRBDEF,MRBDEF,1102
